ID	S0115-0d	S0129-0d	S0138-0d	S0161-0d	S0204-0d-2	S0208-0d	S0254-0d	S0263-0d	S0273-0d	S0276-0d	S0283-0	S0294-0d	S0312-0d	S0334-0d	S0346-0d	S0347-0d	S0363-0d	S0395-0d	S0403-0d	S0408-0d	S0409-0d	S0416-0d	S0432-0d	S0466-0d-1	S0480-0d	S0496-0d	S0502-0d	S0508-0d	S0514-0d	S0519-0d-2	S0541-0d	S0542-0d	S0555-0d	S0560-0d	S0589-0d	S0594-0d	S0602-0d	S0616-0d	S0621-0d	S0635-0d	S0658-0d	S0685-0d	S0692-0d	S0713-0d	S0730-0d	S0743-0d-1	S0767-0d	S0818-0d	S0863-0d	S0866-0d	S0867-0d-2	S0871-0d	S0922-0d	S0925-0d	S0928-0d	S0936-0d	S0958-0d	S0976-0d	S0990-0d	S1039-0d	S1051-0d	S1117-0d	S1124-0d	S1145-0d	S1161-0d	S1188-0d	S1231-0d-2	S1241-6M	S1257-0d	s1274-0d	S1280-0d	S1282-0d	S1284-0d	S1313-0d	S1320-0d	S1359-0d	S1360-0d	S1364-0d	S1386-0d	S1393-0d	S1398-0d	S1402-0d	S1411-0d	S1416-0d	S1437-0d	S1440-0d	S1544-0d	S1619-0d	S1691-0d	S1710-0d	S1738-0d	S1790-0d	S1792-0d	S1813-0d	S1846-0d	S1852-0d	S2006-0d	S2039-0d	S2044-0d	S2048-0d	S2057-0d	S2058-0d	S2086-0d	S2104-0d	S2109-0d	S2152-0d	S2164-0d	S2174-0d	S2176-0d	s2203-0d	S2222-0d	S2228-0d	S2292-0d	S2300-0d	S2316-0d	S2317-0d	s2353-0d	S2367-0d	S2373-0d	S2455-0d	S2490-0d	S2498-0d	S2521-0d	S2543-0d	S2589-0d-2	S2652-0d	SC0028-12M	SC0028-24M	SC0028-6M	SC0084-12M	SC0084-6M	SC0117-12M	SC0117-24M	SC0117-6M	SC0147-12M	SC0185-12M	SC0185-24M	SC0206-12M	SC0206-24M	SC0206-6M	SC0226-12M	SC0226-24M	SC0226-6M	SC0248-12M	SC0248-24M	SC0248-6M	SC0284-12M	SC0375-12M	SC0382-12M	SC0446-12M	SC0446-24M	SC0446-6M	SC0462-12M	SC0462-6	SC0468-12M	SC0483-12M	SC0484-12M	SC0484-24M	SC0484-6M	SC0500-12M	SC0500-6M	SC0523-12M	SC0523-24M	SC0523-6M	SC0615-12M	SC0615-6M	SC0657-12M	SC0664-12M	SC0664-24M	SC0664-6M	SC0665-12M-2	SC0665-6M	SC0715-12M-2	SC0715-6M	SC0720-12M	SC0720-24M	SC0720-6M	SC0752-12M	SC0752-24M	SC0752-6M	SC0766-12M-2	SC0766-24M	SC0766-6M	SC0820-12M	SC0820-24M	SC0820-6M	SC0847-12M	SC0848-12M	SC0848-6M	SC0862-12M	SC0862-24M	SC0862-6M-2	SC0889-12M	SC0889-24M	SC0889-6M	SC0892-12M	SC0892-6M	SC0894-12M	SC0899-12M	SC0899-6M	SC0908-12M	SC0908-24M	SC0908-6M	SC0916-12M	SC0916-6M	SC0947-12M	SC0975-12M	SC0985-12M	SC0985-24M	SC0985-6M	SC0997-12M	SC0997-24M	SC0997-6M	SC1050-12M	SC1050-24M	SC1050-6M	SC1055-12M	SC1055-6M	SC1109-12M	SC1109-24M	SC1109-6M	SC1123-12M	SC1123-24M	SC1123-6M	SC1124-12M	SC1124-24M	SC1124-6M	SC1177-12M	SC1177-24M	SC1177-6M	SC1241-12M	SC1241-24M	SC1252-12M	SC1269-12M	SC1282-12M	SC1284-12M	SC1284-24M	SC1284-6M	SC1454-12M	SC1454-24M	SC1454-6M	SC1531-12M	SC1531-24M	SC1531-6M	SC2023-12M	SC2023-24M	SC2023-6M	SC2069-12M	SC2144-12M	SC2144-6M	SC2155-12M	SC2155-6M	SC2249-12M	SC2313-12M	SC2313-24M	SC2313-6M	SC2342-12M	SC2342-24M	SC2342-6M	SC2347-12M	SC2347-6M	SC2377-12M	SC2377-24M	SC2377-6M	SC5115-12M	SC5126-12M	SC5126-24M	SC5126-6M	SC5258-12M	SC5258-24M	SC5258-6M	SC5551-12M
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus reuteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15776	0.0	0.0	0.0	0.0	0.0	0.0	10153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9656
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus rhamnosus	48	0.0	0.0	0.0	70	35567	0.0	0.0	0.0	85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1277	171	0.0	0.0	0.0	0.0	0.0	0.0	172281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96900	0.0	0.0	1322	0.0	0.0	474	0.0	0.0	0.0	705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288	0.0	0.0	0.0	362381	0.0	0.0	0.0	0.0	0.0	0.0	36	0.0	0.0	0.0	0.0	0.0	83	0.0	0.0	15071	0.0	0.0	1000	506	0.0	0.0	0.0	7908	0.0	0.0	0.0	21605	0.0	0.0	984	0.0	0.0	0.0	9521	554	0.0	0.0	230	136	0.0	0.0	0.0	275	0.0	257	0.0	0.0	537	0.0	0.0	16279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	404455	0.0	0.0	0.0	0.0	0.0	153872	0.0	0.0	0.0	358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353290	0.0	0.0	38996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59487	0.0	0.0	0.0	7229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300485	32941	144629	0.0	0.0	65224	0.0	0.0	38445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6973	0.0	0.0	35574	0.0	0.0	4558	0.0	35055	0.0	95094	7353	0.0	1070914	575716	0.0	4724	0.0	0.0	0.0	11169	0.0	0.0	0.0	0.0	171237	73877	0.0	752540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11137	0.0	0.0	0.0	0.0	750730	0.0	0.0	0.0	0.0	0.0	0.0	11575	273037	721372	266102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68702	0.0	539451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38479
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus ruminis	110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	623	0.0	0.0	0.0	259	0.0	0.0	0.0	0.0	0.0	495	0.0	165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28	0.0	0.0	0.0	0.0	0.0	64	0.0	0.0	0.0	0.0	0.0	0.0	230	18354	0.0	0.0	0.0	0.0	18773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60	1994	0.0	0.0	0.0	74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187	51303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4432	0.0	0.0	0.0	0.0	0.0	0.0	7652	0.0	0.0	5231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2629	0.0	0.0	0.0	5976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10972	0.0	0.0	0.0	0.0	2572	3862	0.0	0.0	0.0	0.0	0.0	0.0	3825	0.0	0.0	8510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11759	0.0	0.0	21210	0.0	0.0	0.0	0.0	0.0	12741	0.0	3118	0.0	0.0	0.0	0.0	0.0	5523	0.0	20202	4426	0.0	0.0	0.0	4274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus sakei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus salivarius	0.0	0.0	0.0	0.0	0.0	4145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9099	0.0	0.0	52409	20300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4559255	0.0	4959	4981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	973	0.0	38551	0.0	0.0	0.0	0.0	0.0	0.0	196	0.0	0.0	0.0	96	0.0	0.0	0.0	4152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104532	0.0	0.0	874040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5247	0.0	0.0	0.0	5327	0.0	176	412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26	0.0	0.0	0.0	0.0	160	0.0	0.0	314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10939	0.0	0.0	0.0	0.0	0.0	0.0	27571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28468	62199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4331	0.0	0.0	0.0	0.0	6075
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus sanfranciscensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus sp. C25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus sp. CBA3606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus sp. JM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20259	0.0	0.0	0.0	0.0	0.0	0.0	6056	0.0	0.0	0.0	0.0	9161	15521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1186727	0.0
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Lactobacillus sp. P38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
